id,name,host_id,host_name,host_since,room_type,price,neighbourhood,bedrooms,number_of_reviews,first_review,last_review,host_is_superhost,minimum_nights,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_identity_verified,accommodates,beds,airbnb_age
1064721056866843100,Darlinghurst Cottage,38478183,Guest Realty,2015-07-14,Entire home/apt,258,Sydney,2.0,2,2024-02-16,2024-03-03,f,1,1.87,4.5,5.0,5.0,5.0,5.0,5.0,5.0,t,5,3.0,16
1091132191198956799,Elegant 2BR Downtown Dowling St 2 E-Bikes Included,542885001,Félix Charles Kien,2023-10-21,Entire home/apt,460,Sydney,2.0,3,2024-02-24,2024-03-02,f,1,3.0,4.67,4.67,4.33,5.0,4.67,4.67,4.33,t,6,3.0,7
873567694113773462,Minimalist 1BR Apartment in Prime Manly Location,477814690,James,2022-09-02,Entire home/apt,203,Manly,1.0,25,2023-05-03,2024-02-27,f,2,2.34,4.04,4.28,4.2,4.48,4.32,4.76,4.2,t,4,2.0,300
19250621,Bedroom by the Beach,13395151,Agathe,2014-03-22,Private room,59,Waverley,1.0,2,2017-08-03,2020-06-24,f,90,0.02,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,1.0,1056
862896370558048360,Waterfront - KING Master 4 Bedroom 3 Storey#9-10,3882146,Suzanna,2012-10-15,Entire home/apt,391,Sydney,4.0,7,2023-05-23,2024-01-12,t,1,0.7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,15,7.0,234
616018597772229165,Private room above a great pub. Shared bathroom.,33786992,Amy,2015-05-20,Private room,80,Leichhardt,1.0,63,2022-05-09,2024-02-15,f,2,2.78,4.76,4.83,4.7,4.9,4.87,4.75,4.83,t,2,1.0,647
24174057,Sundrenched master bedroom oasis in heart of Bondi,163544613,Charlene,2017-12-21,Private room,130,Waverley,1.0,22,2018-04-09,2019-01-27,f,90,0.3,4.91,4.91,4.95,5.0,5.0,5.0,4.91,f,2,1.0,293
53994958,Private room shared bathroom & kitchen above a pub,33786992,Amy,2015-05-20,Private room,86,Leichhardt,1.0,47,2022-01-03,2024-02-20,f,2,1.75,4.7,4.74,4.6,4.87,4.91,4.53,4.57,t,2,1.0,778
53328707,Sunny Rose Bay pad with spacious garden + Hot tub,431500631,Helen,2021-11-11,Entire home/apt,800,Woollahra,3.0,17,2021-12-19,2024-02-26,t,5,0.62,4.82,4.88,4.82,5.0,4.94,4.94,4.82,t,6,3.0,799
35102731,PARKSIDE PERFECTION- Luxury exec style residence,41215678,Julia,2015-08-11,Entire home/apt,640,Woollahra,3.0,20,2019-07-09,2024-02-24,f,4,0.35,4.6,4.9,4.55,4.8,4.85,5.0,4.35,t,6,3.0,1691
947450023332084160,Woollahra House with Pool,25014687,Cobbold And Co,2014-12-19,Entire home/apt,1180,Woollahra,4.0,2,2024-01-02,2024-02-06,t,7,0.78,4.5,4.0,3.5,4.5,5.0,5.0,4.5,t,8,4.0,35
962165091832386803,Quiet and Convenient Home. Oozing with History,296623833,Graeme,2019-09-21,Entire home/apt,486,Sydney,4.0,17,2023-09-11,2024-03-02,f,1,2.68,4.88,4.71,4.71,4.88,4.94,5.0,4.82,t,8,4.0,173
